cleaned_text,labels
during the period of falling in love each time that we met and especially when we had not met for a long time,joy
when i was involved in a traffic accident,fear
when i was driving home after several days of hard work there was a motorist ahead of me who was driving at hour and refused despite his low speed to let me overtake,anger
when i lost the person who meant the most to me,sadness
the time i knocked a deer down the sight of the animals injuries and helplessness the realization that the animal was so badly hurt that it had to be put down and when the animal screamed at the moment of death,disgust
when i did not speak the truth,shame
when i caused problems for somebody because he could not keep the appointed time and this led to various consequences,guilt
when i got a letter offering me the summer job that i had applied for,joy
when i was going home alone one night in parts and a man came up behind me and asked me if i was not afraid to be out alone so late at night,fear
when i was talking to him at a party for the first time in a long while and a friend came and interrupted us and he left,anger
when my friends did not ask me to go to a new years party with them,sadness
when i saw all the very drunk kids years old in town on walpurgis night,disgust
when i could not remember what to say about a presentation task at an accounts meeting,shame
when my uncle and my neighbor came home under police escort,guilt
on days when i feel close to my partner and other friends when i feel at peace with myself and also experience a close contact with people whom i regard greatly,joy
every time i imagine that someone i love or i could contact a serious illness even death,fear
when i had been obviously unjustly treated and had no possibility of elucidating this,anger
when i think about the short time that we live and relate it to the periods of my life when i think that i did not use this short time,sadness
at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating,disgust
when i realized that i was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feelings,shame
i feel guilty when when i realize that i consider material things more important than caring for my relatives i feel very selfcentered,guilt
after my girlfriend had taken her exam we went to her parents place,joy
when for the first time i realized the meaning of death,fear
when a car is overtaking another and i am forced to drive off the road,anger
when i recently thought about the hard work it takes to study and how one wants to try something else when i read a theoretical book in english that i did not understand,sadness
when i found a bristle in the liver paste tube,disgust
when i was tired and unmotivated i shouted at my girlfriend and and brought up negative sides of her character which are actually not so important,shame
when i think that i do not study enough after the weekend i think that i should have been able to have accomplished something during that time,guilt
when i pass an examination which i did not think i did well,joy
when one has arranged to meet someone and that person arrives late in the meantime one starts thinking about all that could have gone wrong beg a traffic accident,fear
when one is unjustly accused of something one has not done,anger
when ones studies seem hopelessly difficult and uninteresting,sadness
when one finds out that someone you know is not at all like one had thought for instance friends who steal and things like that quite unwarranted,disgust
when one has been unjust stupid towards someone else,shame
when one has neglected or been unjust to a good friend,guilt
passing an exam i did not expect to pass,joy
when i climbed up a tree to pick apples the angle of the ladder i was on did not enable me to get high enough this implied that the ladder was not very stable,fear
friends who torture animals,anger
,sadness
friends who torture animals,disgust
,shame
,guilt
when i had my children,joy
when my year old son climbed up and sat on the floor balcony with his legs hanging out he was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down,fear
when my partner was attacked and lost three teeth,anger
when i see children on to from areas devastated by drought and war,sadness
when i nearly walked on a blindworm and then saw it crawl away,disgust
when i saw my year old son grab an oxygen mask as he had breathing difficulties i had a bad conscience because i had not stopped smoking medication for the dilation of his breathing tubes also caused a sense of guilt in me,shame
i experience a sense of guilt as my middle son cannot express himself like other children neither verbally nor in writing,guilt
when my child was born,joy
it was innerspring and the ice was melting i was far out on a jetty and i poked the ice with a long branch to try and break it the branch went through the ice and i fell in the water closed in over my head,fear
unjust accusations directed at me and my way of acting by someone close to me,anger
failing an examination,sadness
a drunkard fell started bleeding and wet himself disgust that turned into sadnessunpleasantness,disgust
when as an adult i have been caught lying or behaving badly,shame
when i am in an environment or with a person much worse off than me i realize how privileged i am,guilt
when i saw a person i had not seen for a long time,joy
when as a child i was nearly knocked down by a car,fear
when i heard on the radio that the football match in belgium had ended in a catastrophe and several people had died i could not understand how normal people could behave in such a way,anger
when i feel lonely perhaps because i have to study a lot and i am shut up in my apartment nothing happens in particular because there is no time for anything else,sadness
when one learns through the mass media all the wars and killing going on in the world,disgust
i lied to be precise i cancelled a meeting with a good friend,shame
when one let us friends down,guilt
when i was accepted for a course on finance and accounting,joy
a bus drove over my right leg the event itself was not very frightening but when i had to wait in the emergency ward for three hours and then my leg began to swell i was frightened,fear
at my summer job nobody looked after me in particular and i had to learn all on my own,anger
when i was not accepted as a student in finance and accounting,sadness
when i had just moved into my new apartment i found a ventilator in the kitchen i was going to clean it when i found that the drum was full of mud and slime i felt disgusted,disgust
my elder brother and i have not always had a good relationship and i feel ashamed of myself as i do not call him to talk to him nowadays,shame
at my summer job a new caretaker had been employed who was my age but i preferred going out for lunch with the accounts personnel rather than with him,guilt
passed an exam by points,joy
in a cottage in a large forest i was alone for a while in the dark,fear
when i spoke to janerik wikstrm on the telephone,anger
railway station goodbye,sadness
i saw a cripple in rags with small children in italy he was probably an imposter,disgust
i told a friend that i was going to a party and he would not enjoy himself if he came along he understood that he would not have fitted in and there was something in that,shame
i was the reason behind the breakup of my friends relationship with his girlfriend she finished with him,guilt
i passed an exam that i was absolutely certain that i had failed,joy
on the way back from denmark with a friend on a small watch there was a storm and my friend was blown overboard i was very scared till i managed to get him back inboard,fear
i locked myself out,anger
i missed the last tram home and had to walk in the pouring rain,sadness
i found some worms in the food and i had obviously eaten some,disgust
my friend was so intoxicated that the police came and took him away and they later contacted his parents,shame
i happened to overhear something which i was not meant to hear,guilt
when i won a trip to greece in a competition,joy
when i am out in the dark and a suspicious looking character comes towards me,fear
at work when an elderly man complained unjustifiably about me and distrusted me,anger
when i had not understood anything after a lecture,sadness
when an alcoholic stood dribbling over a food counter,disgust
when my friend and i were discussing the good looks of a guy we realized that he had been listening,shame
when i complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that i liked her,guilt
at a friends birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends,joy
on the way home one fridge night in the heavy rain the car aquaplaned i lost contact with the road surface for a few seconds,fear
mad at my dad,anger
a case of unrequited love,sadness
a bad smelling cucumber,disgust
nearly caught masturbating,shame
i do not help out enough at home,guilt
i felt very happy when i won the football pools,joy
when i flew from then to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thought that we were going to crash,fear
when someone stole my bike,anger
when i saw the list of books to read for an accounting course i thought oh god how will i ever manage it,sadness
it was when i read a newspaper article on the future and they foresaw that we would be eating frogburgers by the year an illustration showed a frog between two pieces of bread,disgust
when i dropped a bottle in the state liquor store and everybody started laughing,shame
when i was young i pinched from a store and was caught the store then contacted my parents,guilt
when the whole family gets together for a one week holiday everybody feels free and the trip is well planned it works out well and we enjoy ourselves,joy
when i could not find my year old daughter i ran and looked for her everywhere and could not find her i finally found her she had gone to bed to sleep,fear
when friends try to put me down or hurt me,anger
marriage crises boredom,sadness
when someone makes advances that one does not want,disgust
the discovery that one has only thought of oneself,shame
when i spanked a child in anger and later regretted it terribly,guilt
when i passed the first examination that i had to repeat,joy
when i drove to stockroom for the first time and drove off the story hissing road at the wrong exit,fear
when my boyfriend went away for a month long holiday without me,anger
last year when i worked during the summer holidays and studied at the same time for an examination i had to repeat my boyfriend went to greece for a holiday for a month,sadness
when a dog is left whining outside a shop,disgust
when i promised to help a friend over a weekend and did not keep the promise,shame
when i realized that i had three more examinations to take,guilt
the day i was told that i had been accepted as a student of economics,joy
while taking a short cut through the vasa park i was surrounded by three people who tried to steal my money i was scared and was saved only by the appearance of other people,fear
at a restaurant i observed how the gypsies tried to get money by cheating the foreigners i non swish speaking my anger had nothing to do with hatred against foreigners but it was an expression of the anger i feel when i see people being used,anger
at the beginning of a new course one is afraid of encountering problems one can not manage thoughts revolve around failing the subject and the consequences it would have for the future,sadness
while walking in town i noticed how the police harassed a man who was under the influence of alcohol they terrified him with the thought of arrest by driving close behind him on a pedestrian street my disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves,disgust
when my boyfriend revealed that he knew that i had discovered things of an important nature about him i felt ashamed as i had not mentioned it earlier,shame
when i am dishonest to a friend to whom i am very close i feel guilty because i know that he gives a different version of the truth and i have not corrected these mistakes and he is aware that i know that they are wrong,guilt
when i found out that i had passed the last two exams by a margin of three marks,joy
when my father was ill and was waiting for the results of his tests,fear
when i got caught in the pouring rain last thursday and did not have a raincoat on me,anger
when i failed an exam,sadness
at a smörgåsbord table a man mixed different kinds of picked herrings with fruit salad,disgust
when i had not prepared my contribution to the group as thoroughly as the other members with the result that the overall result was poor,shame
when my father and i worked on the house just after he had recovered from illness i was rather lazy this meant that he had to work hard and was not very well later,guilt
when i gave birth to my son and saw that he was alive and that i had managed it well he was born a month too early with a malfunctioning lung this happened a year ago,joy
when i found out that my father had lung cancer and they did not know how long he would live,fear
when a colleague asked me for help at work despite the fact that he had more time to do it than i had,anger
when i did not get the salary increase that i had been expecting and understood how little ones work was appreciated,sadness
when i was weeding the garden i found a lizard in my hand,disgust
when i met a friend whom i had not seen for a long time and heard all about her troubles i thought that i should have got in touch with her earlier,shame
i got angry at my mother for something trivial we were in a bad mood because my father was very ill and i knew that my mother really needed support i had reacted wrongly,guilt
new years eve i met my girlfriend we stood on the steps outside her parents home and i kissed her for the first time,joy
when i was stopped by plain clothes policemen because the car i was driving had overturned on the avenue i had been driving too fast and i was afraid when i was stopped questioned and then told to go the situation ended happily since there were no consequences,fear
the editor changed the heading of an article that i had written he considered the heading to be derogatory towards the person i had written about,anger
a close acquaintance of the family died of lung cancer although it was expected i still felt depressed,sadness
when i saw a picture in the gothenburg post of a totally demolished car with two fatally injured passengers the car was so badly damaged that they could not get the bodies out at the scene of the accident,disgust
one night i had a sexual intercourse with another man my sexual desire and my curiosity had made me jump into bed with him i am ashamed of myself now,shame
due to laziness i failed the term studies completely at university i also wanted to some extent to protest against my parents expectations,guilt
when i got the loan for my studies,joy
i met intoxicated people with dubious intentions in a back alley one wednesday night,fear
on the to i saw a news feature on south africa a policeman attacked a group of black people with a whip,anger
the thought of having to read a boring book of pages in english,sadness
grovelling people,disgust
my inability to assert myself positively in a group,shame
i experience feelings of guilt because i do not study enough,guilt
observing someone in the cafeteria noisily gulping in his food having extremely bad manners,disgust
i guess i have often been ashamed after having talked badly of other people,shame
having been angry and unpleasant towards my parents,guilt
when my sister after a history of one abortion and one stillbirth gave birth to a perfectly health boy,joy
when my sister had the still born child she was emotionally very deep down and it took her a long time to recover,fear
we were starting a student project and the teacher we talked to was very negative and not very helpful,anger
when my boyfriend openly let me down preferring another girl,sadness
i felt some disgust for my boyfriend for a time after he had left me,disgust
cannot think of any,shame
before an accident my aunt offered me the front seat of the car next to the driver i declined she took that seat and was killed there when the car crashed,guilt
unexpected visit by a close friend whom i had not seen for half a year,joy
i wandered by mistake into the safety zone of a shooting range and was shot at,fear
being treated unfairly,anger
breaking up with a girl,sadness
nothing,disgust
none,shame
little contact with my father before he died,guilt
when i was accepted as a student at the college not having thought it possible,joy
when i was the first to arrive at the scene after an accident and found that a close school friend had been killed,fear
i was accused of having done something which i had not and got very angry,anger
when my grandmother died,sadness
not applicable,disgust
a couple of years ago during the summer holiday i was fishing at a lake with my husband suddenly it started raining while the sun was still shining i experienced a feeling of joy happiness and fulfillment the whole nature was full of music,joy
i was alone at home in bed reading a women magazine in which there were stories of paranormal experiences my leg was itching and i stretched my hand to scratch and i felt another strange hand later i realized that it was the corner of the blanket,fear
i went to a lecture and once again it had been cancelled this was the second time one had a negative attitude towards the lecturer,anger
i heard that a former superior of mine had died i was later at home home reading about it in the newspaper and i thought of our interaction and how it was no longer possible the limited scope of human life is sad,sadness
in the tram there was a fat sickly looking woman in front of me who was asking for directions in a thick voice when she got up to go a disgusting smell of urine came from her i felt that i would choke,disgust
when we were at home my husband and i he made a remark about something i had done in a perfectly friendly manner my deed had been unjust and i knew that my husband was right therefore my sense of shame,shame
i made a remark to my sister concerning her attitude to men the way she talked and i compared her to an acquaintance of mine later the same evening my sister looked sad i felt guilty about her sadness,guilt
i had a summer job in sweden and my boyfriend came to meet me on my birthday,joy
i went to practice in sweden during summer and i was afraid that i would not do well,fear
in the holiday cottage of our association two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest,anger
my grandmother died suddenly last summer,sadness
my superior at the summer job swindled customers as much as he could and once put me in a difficult situation after which i could not but detest him,disgust
once i arrived two hours late to my work place a bank and i was still feeling feeble and tired,shame
our association had polish visitors and when they were going back by boat i did not go to see them off i am the chairman of the association,guilt
i was told quite unexpectedly that one wanted me to become the vicechairman of our student organization i was really surprised and joy was the first emotion i felt though behind it there was worry how shall i succeed,joy
our tutorial group was soon to be divided and we got a list of names of freshmen out of which five were to be in my group we read the names and then each group went its own way to a seminar room i wondered how i would cope with the new situation and if i would succeed as a group leader,fear
we were in a disco and the evening was not at all pleasant despite my not knowing why i was angry with my companion i let him feel my bad humor as i cannot hide my feelings,anger
my grandmother died and my mother called me one sundae morning in the autumn the way my mother told me about it i hated her at that moment she sounded as if she had been waiting for the death of my grandmother i had lost a person close to me i felt guilty too as i had been bad to my grandmother of late i had not remained calm when she no longer understood everything so well,sadness
at the underground station a drunkard came to speak to me he tried to ask me something but i did not answer so he began to speak about me with his companion i detested this dirty growling man,disgust
i was worried by a task related to my studies which had to be done in groups of two i was talking about it to my friends when i said something negative in too abrupt a manner concerning my work partner i did not quite mean what i said and i felt ashamed at having been mean enough to criticize him as he is also a friend of mine,shame
i had told my boyfriend that i did not want to go on with our relationship i knew that i was important to him but i wanted to be free i saw that this was difficult for him but i remained firm and did not change my mind,guilt
last night i had a chat with a fellow student i had known her for about half a year and for the first time we were speaking the same language meaning an inspiring discussion and encounter,joy
i sometimes quarrel with my mother because she blames me though i have not in any way been connected to some events,anger
after hearing about the death of my grandfather first i could not believe it but later i wept and felt the situation was hopeless i felt lonely and wanted to be consulted,sadness
in the evening while i was watching to my little brother came in and started eating food he had brought from the kitchen while i was trying to concentrate on the program,disgust
my little brother was arrested by the police at the railway station after he had drunk some beer,shame
at my temporary job i have to restrict others actions and make them obey me and this very often gives me a feeling of guilt i wish there could be some other way of acting,guilt
i met a dear friend of mine after a long time i expressed my feelings in our own usual way by mutual scolding and abusing with complete understanding and by touching patting and taking the hand of the other person et,joy
i felt fear of the purest kind after a car accident the incident and images of horror kept coming back to my mind i wondered what could have happened to my sister my friend and me though nothing very serious actually happened,fear
two boys whom i know were telling me in an indecent manner how they had teased a young and shy girl i know they had despised her conviction scorned and touched her i got very angry and did not try to conceal it and gave it back to them,anger
my sweetheart left me or rather we decided to break it off by mutual consent the consequences were unrestrained weeping feelings of loneliness hopelessness and disconsolation i felt that i should find a friend to talk to joyfully and to forget,sadness
out of sheer curiosity i went to see a pornographic movie in copenhagen the room was full of men who panted and masturbated very disgusting,disgust
after having quarrelled unnecessarily and without any reason and having been stupidly cross in every way,shame
,shame
forced to fill in a questionnaire,guilt
when i won a tennis match,joy
when my dog ran out on thin ice last spring,fear
when my tennis match was interrupted because a kid cycled right into the court,anger
,sadness
,disgust
,shame
,guilt
celebrations on the graduation day with the orchestra playing in the garden i am a part of this orchestra,joy
risk of being involved in a fight after a party,fear
i had a very heavy work load and two colleagues whom i have nothing against disturbed me by terror ringing i continuously interrupting me by telephoning,anger
after an exam which i failed,sadness
,disgust
when i overtook a car on the railroad misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver we could have collided and i had an acquaintance in the car with me,shame
i saw a neighbor from the same apartment block as me lying on the road he could have been injured or ill i kept meters away and did not go to help him,guilt
when i met an old school friend school love who works in save,joy
when i was cycling to school i nearly got knocked down by a car which overtook me too closely did not give me any swerving space,fear
when i was deputy manager during the summer certain deputies took liberties more than what was normal,anger
when i realized that my girlfriend whom i like and i were going to separate,sadness
dog dirt which thaws in the spring,disgust
when i forgot my mothers birthday,shame
,guilt
passed the last exam,joy
was nearly knocked down by a car,fear
